date_de_la_course,nom_evenement,distance_course,classement,vitesse_moyenne,femmes_hommes,categorie_age
2024-09-08,Trail des 3 Garennes - Courir à Chaumont sur Tharonne,24,46,11.5,H,M2
2024-09-08,Trail des 3 Garennes - Courir à Chaumont sur Tharonne,24,57,10.8,H,ES
2024-09-08,Trail des 3 Garennes - Courir à Chaumont sur Tharonne,24,17,12.9,H,SE
2024-09-08,Trail des 3 Garennes - Courir à Chaumont sur Tharonne,24,1,15.3,H,M1
2024-09-08,Trail des 3 Garennes - Courir à Chaumont sur Tharonne,24,73,10.3,H,M5
2024-09-08,Trail des 3 Garennes - Courir à Chaumont sur Tharonne,24,6,14.7,H,M3
2024-09-08,Trail des 3 Garennes - Courir à Chaumont sur Tharonne,24,89,9.1,H,M5
2024-09-08,Trail des 3 Garennes - Courir à Chaumont sur Tharonne,24,54,11.1,H,M1
2024-09-08,Trail des 3 Garennes - Courir à Chaumont sur Tharonne,24,4,14.7,H,SE
2024-09-08,Trail des 3 Garennes - Courir à Chaumont sur Tharonne,24,32,11.9,H,M3
2024-09-08,Trail des 3 Garennes - Courir à Chaumont sur Tharonne,24,33,11.9,H,M3
2024-09-08,Trail des 3 Garennes - Courir à Chaumont sur Tharonne,24,68,10.5,H,SE
2024-09-08,Trail des 3 Garennes - Courir à Chaumont sur Tharonne,24,2,15.2,H,M1
2024-09-08,Trail des 3 Garennes - Courir à Chaumont sur Tharonne,24,31,12.0,H,M4
2024-09-08,Trail des 3 Garennes - Courir à Chaumont sur Tharonne,24,44,11.5,H,M2
2024-09-08,Trail des 3 Garennes - Courir à Chaumont sur Tharonne,24,34,11.9,H,M0
2024-09-08,Trail des 3 Garennes - Courir à Chaumont sur Tharonne,24,21,12.5,H,M1
2024-09-08,Trail des 3 Garennes - Courir à Chaumont sur Tharonne,24,61,10.7,H,M5
2024-09-08,Trail des 3 Garennes - Courir à Chaumont sur Tharonne,24,9,13.8,H,M2
2024-09-08,Trail des 3 Garennes - Courir à Chaumont sur Tharonne,24,10,13.5,H,M3
2024-09-08,Trail des 3 Garennes - Courir à Chaumont sur Tharonne,24,91,7.6,H,M5
2024-09-08,Trail des 3 Garennes - Courir à Chaumont sur Tharonne,24,47,11.5,H,M1
2024-09-08,Trail des 3 Garennes - Courir à Chaumont sur Tharonne,24,71,10.4,H,M4
2024-09-08,Trail des 3 Garennes - Courir à Chaumont sur Tharonne,24,3,14.8,H,M1
2024-09-08,Trail des 3 Garennes - Courir à Chaumont sur Tharonne,24,58,10.8,F,M2
2024-09-08,Trail des 3 Garennes - Courir à Chaumont sur Tharonne,24,78,10.0,H,M4
2024-09-08,Trail des 3 Garennes - Courir à Chaumont sur Tharonne,24,64,10.7,H,M3
